CODIGO_ACTIVIDAD,DESCRIPCION_ACTIVIDAD,ANIO,CODIGO_ENTIDAD,ENTIDAD,H000B_Y_H000C_I000B_Y_I000C,H000B_Y_I000B,H000C_Y_I000C,H000A_H000B_Y_H000C,H000B,H000C,I000B_Y_I000C,I000B,I000C,H000E_Y_H000F_I000E_Y_I000F,H000E_Y_I000E,H000F_Y_I000F,H000E_Y_H000F,H000E,H000F,I000E_Y_I000F,I000E,I000F,J000A_J000B_J000C,J000B,J000C,J000A_Y_H000A,J000B_Y_H000B,J000C_Y_H000C,K000A,K321A,K322A,K324A,K200A,K421A,K412A,K521A,K590A,K610A,K620A,K720A,K999A_Y_K810A_Y_K820A,M000A,M321A,M322A,M200A,M323A,M510A,M590A,M999A,O111A,O112A,O200A,P000A,Q000A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q100B,Q200B,Q300B,Q400B,Q900B,Q000C,Q100C,Q200C,Q300C,Q400C,Q900C,Q000D,Q100D,Q200D,Q300D,Q400D,Q900D,ESTATUS
23,Construcción,2018,17,Morelos,7508,6298,1209,7300,6134,1166,208,165,43,17251,13900,3352,16648,13423,3225,603,477,126,758365,643497,114868,104364,104910,98526,2861039,1779326,238374,0,230129,60360,9188,9062,27773,23757,230,114769,368072,5269742,3825536,452695,657514,0,72259,220705,41034,3297796,346221,817,53140,1184119,428037,261447,434772,30441,29422,178006,79530,10461,78673,5012,4331,97970,4034,52050,38837,2700,350,7705,4274,2378,1054,0,0,Cifras definitivas
23,Construcción,2018,18,Nayarit,5571,4750,821,4768,4171,597,803,579,224,12635,10368,2267,10323,8700,1622,2312,1668,644,607277,524869,82408,128718,125840,137993,3816162,1565135,182895,538,804,497978,63265,312915,4209,113831,35880,722627,316086,3557394,3267162,138882,2313,454,16351,24928,107303,2780405,600211,0,164972,2806449,2001408,224629,393698,93140,93575,291750,166777,8586,91030,16500,8857,15666,5884,0,8114,973,695,6238,3265,86,2888,0,0,Cifras definitivas
23,Construcción,2018,19,Nuevo León,48419,41230,7189,42283,36185,6097,6136,5044,1092,113652,96677,16975,97406,83322,14084,16245,13354,2891,6467279,5577240,890039,153760,154129,145976,43721786,20719271,3700587,10760,4185372,314307,88724,266200,3613638,1153309,4485,4894974,4770159,90129688,36882270,35428704,11958191,662438,108601,337164,4752320,48103154,9483582,38,294103,11842937,5208180,1833264,3256873,957025,587596,1113215,574443,27501,390827,48620,71826,986717,280735,16687,99782,500465,89048,474677,127992,12238,217286,35040,82121,Cifras definitivas
23,Construcción,2018,20,Oaxaca,9704,8104,1599,9674,8088,1585,30,16,14,21497,17360,4137,21410,17314,4096,86,46,41,1076684,863288,213396,117402,106731,134621,1638653,1090848,9719,1080,13657,234149,35558,10172,24101,2780,810,25699,190081,5108833,4712039,12221,39013,738,79249,118103,147469,4177024,29688,287,95808,1674888,669097,192412,697767,63970,51641,327295,137375,7159,166093,9423,7246,1876,1007,28,754,42,44,87,22,21,32,9,4,Cifras definitivas
23,Construcción,2018,21,Puebla,19213,16269,2944,17818,15119,2699,1395,1150,245,44502,35780,8722,40485,32469,8016,4017,3311,706,1967941,1661021,306920,112148,109860,113736,8903589,5526726,273738,0,949093,225712,28418,293739,60179,191248,4550,746659,603526,27929645,16891051,668348,2711694,3741666,31927,1308208,2576752,13726924,430634,0,440137,3472432,279293,576424,1714432,433558,468726,521382,41726,20821,307389,76741,74706,144805,41514,650,72263,12876,17503,7697,4289,0,3364,44,0,Cifras definitivas
23,Construcción,2018,22,Querétaro de Arteaga,21033,17197,3836,20598,16867,3730,436,330,106,48726,37370,11357,47470,36417,11052,1256,952,304,2446986,1969554,477432,120409,116768,127987,13966571,5955013,712013,104115,155666,619092,67316,180027,125161,53588,0,4200062,1794517,23089919,12658565,1016730,444756,7665618,171673,143489,989088,14209960,1322796,79,446859,4216170,1667089,690797,1446349,212327,199608,618239,258725,13345,311245,21182,13743,125166,11323,15103,89310,8223,1207,8254,2960,2458,2637,199,0,Cifras definitivas
23,Construcción,2018,23,Quintana Roo,8708,6896,1812,7893,6131,1762,815,765,50,20738,15758,4980,18390,13554,4836,2348,2204,144,1253410,954221,299189,159192,155634,169849,3604063,1667689,63571,3614,76677,239054,73011,40780,92648,129797,1437,807471,408314,4604253,3749261,109475,219216,63787,62768,57690,342056,3285547,432623,0,2202,1392739,353574,146559,464796,161894,265915,170977,47474,3877,60713,28973,29941,9906,3975,7,2231,2570,1123,8229,5204,0,2988,37,0,Cifras definitivas
23,Construcción,2018,24,San Luis Potosí,13641,11232,2409,13423,11031,2393,217,201,16,30674,23523,7151,30048,22943,7105,627,580,47,2286441,1868917,417524,172323,169431,174484,33137370,4407431,357693,14023,126858,318895,125003,86618,44211,80775,345,25812931,1762587,59352325,9618032,428760,376890,24662176,19997,11308,24235162,12342865,1306081,63,340000,3498392,1119135,541314,1514830,123563,199550,679467,294558,23309,310375,19228,31997,170306,118230,0,46916,2403,2757,4644,2545,0,1523,575,0,Cifras definitivas
23,Construcción,2018,25,Sinaloa,24432,20862,3570,23367,20015,3352,1065,847,218,56199,45899,10301,53127,43456,9671,3072,2443,629,2600710,2186160,414550,112083,109226,123672,9640618,4403153,513640,78221,824104,512196,47251,110037,92258,155736,472,1425376,1478175,18201060,11450334,2530890,2354585,140869,242076,174505,1307801,13811959,1835914,9214,259720,4741790,2514902,995551,843931,242896,144510,644929,400645,10701,173313,41555,18714,535120,72153,363538,83638,5540,10250,36271,5225,514,30532,0,0,Cifras definitivas
23,Construcción,2018,26,Sonora,24070,21295,2775,21482,18955,2527,2588,2340,248,56455,48370,8084,48992,41620,7371,7463,6750,713,2753395,2413280,340115,128860,127318,134577,24056375,6153173,745434,0,1375719,998943,58269,838864,228349,518670,2161,3939957,9196836,27285542,17534326,1170981,3930650,184297,71599,299476,4094214,18525933,1865429,1220,312720,17230478,3627474,10998443,2158444,222050,224066,1122537,282433,478145,311950,23257,26752,214129,83446,2718,105256,15580,7128,56006,22885,1852,16865,6764,7640,Cifras definitivas
23,Construcción,2018,27,Tabasco,8204,7248,956,7635,6752,882,570,496,74,19138,16809,2329,17485,15369,2116,1653,1440,213,850636,747459,103177,112017,110697,116928,13043049,5645165,505969,0,240394,394252,311114,298939,33635,470816,0,1680956,3461810,37675878,33023729,979177,2660642,325043,97557,47913,541816,12638693,599681,0,330353,5136188,1525922,1306227,1857745,187721,258573,534002,122797,46089,326710,15181,23225,161768,62589,2364,58519,22737,15560,50666,31629,773,13240,1181,3843,Cifras definitivas
23,Construcción,2018,28,Tamaulipas,16855,14566,2290,16155,14051,2104,700,514,186,39691,33064,6627,37677,31583,6094,2014,1481,533,2023014,1688208,334806,126415,120146,159118,9544647,5504599,450057,0,390671,346845,54042,335370,32961,69846,0,517549,1842706,11275653,7789529,579109,2182890,44051,118794,526327,34953,10736223,1716732,0,44261,11056990,3129412,1325672,6328279,110998,162630,1884980,296531,51622,1500408,19168,17250,53742,33168,9571,6898,4032,72,15305,9339,1050,4853,5,58,Cifras definitivas
23,Construcción,2018,29,Tlaxcala,1974,1668,306,1972,1666,306,2,2,0,4383,3558,825,4378,3553,825,5,5,0,135474,116664,18810,72963,70016,61559,344475,168800,27723,0,1163,8553,249,340,2306,54,0,5178,130109,496207,330803,16518,3318,1755,723,0,143090,383184,40328,0,34966,249609,159089,21655,57306,5323,6235,54431,40190,648,11741,868,983,3782,2121,0,1229,387,46,3242,2373,0,869,0,0,Cifras definitivas
23,Construcción,2018,30,Veracruz de Ignacio de la Llave,25574,22226,3348,25175,21861,3314,399,365,34,60232,50326,9906,59081,49273,9808,1151,1053,98,2574507,2204197,370310,103201,100827,111751,8283327,3801654,89806,0,1167658,446090,55224,202997,147451,98033,0,870772,1403644,23612804,13901845,263934,3336155,1010,878912,1234535,3996414,11474389,534267,0,121618,8958746,4095366,1285366,2717743,201955,658316,1577026,716351,46978,733278,31596,48823,201020,147352,2518,33017,14936,3197,70053,60950,0,9084,19,0,Cifras definitivas
